slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verefiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
flare-mainnet-public,Flare,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1000 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Docs"", ""url"":""https://dev.flare.network/network/overview"", ""type"":""external""}]"
flare-coston2-public,Flare,Free,Recent-State,Coston2,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1000 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Docs"", ""url"":""https://docs.flare.network/dev/reference/coston2-testnet/"", ""type"":""external""}]"
flare-songbird-public,Flare,Free,Recent-State,Songbird,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1000 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Docs"", ""url"":""https://dev.flare.network/network/overview"", ""type"":""external""}]"
flare-coston-public,Flare,Free,Recent-State,Coston,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1000 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Docs"", ""url"":""https://dev.flare.network/network/overview"", ""type"":""external""}]"
ankr-mainnet-free,!provider:ankr-free-recent-state,,,,,,,,,,,,,,,,,,,
ankr-mainnet-growth,!provider:ankr-pay-as-you-go-recent-state ,,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise,!provider:ankr-enterprise-recent-state,,,,,,,,,,,,,,,,,,,
quicknode-coston2-free,!provider:quicknode-free-recent-state,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-free,!provider:quicknode-free-recent-state,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-growth,!provider:quicknode-pay-as-you-go-recent-state,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise,!provider:quicknode-enterprise-recent-state,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free,NOWNodes,Free,Recent-State,mainnet,0,"Free (100,000 included only)",null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""100k requests, no more than 1 month, no more than 1 key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://nownodes.io/nodes/flare"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://nownodes.gitbook.io/documentation-1/nodeapis"", ""type"":""external""}]"
nownodes-mainnet-growth,NOWNodes,Pay-As-You-Go,Recent-State,mainnet,"€20 / €200/ € 500 included into requests, yearly 10% discount",€50 / €10 / €5 million per 1M requests,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""1M / 30M / 100M req/month, 3 / 25 / 100 api key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://nownodes.io/nodes/flare"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://nownodes.gitbook.io/documentation-1/nodeapis"", ""type"":""external""}]"
ankr-coston-free,Ankr,Free,Recent-State,Coston,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1800 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.ankr.com/rpc/flare"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.ankr.com/docs/"", ""type"":""external""}]"
ankr-coston2-free,Ankr,Free,Recent-State,Coston2,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1800 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.ankr.com/rpc/flare"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.ankr.com/docs/"", ""type"":""external""}]"
