slug,provider,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,api,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,actionButtons
lineascan-mainnet,Lineascan,mainnet,Etherscan,"['Accounts','Transactions','Blocks','Tokens','Gas','Contracts']","['Token Tracker','NFT Tracking','Network Metrics']",TRUE,"['REST','GraphQL']","['TypeScript','Node.js']","['Address','Transaction Hash','Block','Token']",TRUE,TRUE,Free,"[{'label':'Explore','url':'https://lineascan.build/','type':'external'},{'label':'Docs','url':'https://docs.etherscan.io/etherscan-v2','type':'external'}]"
lineascan-sepolia,Lineascan,sepolia,Etherscan,"['Accounts','Transactions','Blocks','Tokens','Gas','Contracts']","['Token Tracker','NFT Tracking','Network Metrics']",TRUE,"['REST','GraphQL']","['TypeScript','Node.js']","['Address','Transaction Hash','Block','Token']",TRUE,TRUE,Free,"[{'label':'Explore','url':'https://sepolia.lineascan.build/','type':'external'},{'label':'Docs','url':'https://docs.etherscan.io/etherscan-v2','type':'external'}]"
chainlens-mainnet,Chainlens,mainnet,Custom,"['Accounts','Transactions','Blocks','Tokens','Contracts']","['Token Tracker','NFT Tracking']",FALSE,['REST'],['TypeScript'],"['Address','Transaction Hash','Block','Token']",TRUE,TRUE,Free,"[{'label':'Explore','url':'https://linea.chainlens.com/','type':'external'},{'label':'Docs','url':'https://docs.chainlens.com/','type':'external'}]"
oklink-mainnet,OKLink,mainnet,Custom (Web3Labs),"['Accounts','Transactions','Blocks','Tokens']","['Token Tracker','Address Monitoring','APIs']",FALSE,['REST'],['TypeScript'],"['Address','Transaction Hash','Block','Token']",FALSE,TRUE,Free,"[{'label':'Explore','url':'https://www.oklink.com/linea/','type':'external'},{'label':'Docs','url':'https://www.oklink.com/docs/en/#developer-tools','type':'external'}]"
oklink-sepolia,OKLink,sepolia,Custom (OK Group),"['Accounts','Transactions','Blocks','Tokens']","['Token Tracker','Address Monitoring','APIs']",FALSE,['REST'],['TypeScript'],"['Address','Transaction Hash','Block','Token']",FALSE,TRUE,Free,"[{'label':'Explore','url':'https://www.oklink.com/ru/sepolia','type':'external'},{'label':'Docs','url':'https://www.oklink.com/docs/en/#developer-tools','type':'external'}]"
blockscout-mainnet,Blockscout,mainnet,Blockscout,"['Accounts','Transactions','Blocks','Tokens','Gas','Contracts']","['Token Tracker','NFT Tracking','Network Metrics']",FALSE,"['REST','GraphQL']","['TypeScript','Node.js']","['Address','Transaction Hash','Block','Token']",TRUE,TRUE,Free,"[{'label':'Explore','url':'https://explorer.linea.build/','type':'external'},{'label':'Docs','url':'https://explorer.linea.build/api-docs','type':'external'}]"
blockscout-sepolia,Blockscout,sepolia,Blockscout,"['Accounts','Transactions','Blocks','Tokens','Gas','Contracts']","['Token Tracker','NFT Tracking','Network Metrics']",FALSE,"['REST','GraphQL']","['TypeScript','Node.js']","['Address','Transaction Hash','Block','Token']",TRUE,TRUE,Free,"[{'label':'Explore','url':'https://explorer.sepolia.linea.build/','type':'external'},{'label':'Docs','url':'https://explorer.sepolia.linea.build/api-docs','type':'external'}]"
arkham-mainnet,Arkham,mainnet,Custom (Analytics/Intel),"['Accounts','Transactions','Tokens']","['Entity Labeling','Relationship Graphs','De-anonymization','Portfolio Tracking']",TRUE,['REST'],"['Python','TypeScript']","['Address','Entity','Transaction Hash','Token']",FALSE,TRUE,partially paid,"[{'label':'Explore','url':'https://intel.arkm.com/','type':'external'},{'label':'Docs','url':'https://codex.arkm.com/','type':'external'}]"
0xppl-linea,0xPPL,mainnet,Custom (Explorer+Indexer),"['Accounts','Transactions','Blocks','Tokens','Contracts']","['Token Tracker','Leaderboards','Community Stats']",FALSE,,"['JavaScript','TypeScript']","['Address','Transaction Hash','Block','Token']",TRUE,FALSE,Free,"[{'label':'Explore','url':'https://0xppl.com/Linea/overview','type':'external'}]"
forhumans-linea,ForHumans,mainnet,Blockscout (UI Customized),"['Accounts','Transactions','Blocks','Tokens','Contracts','Gas']","['Human-readable Names','Simplified UI','Network Metrics']",FALSE,,"['TypeScript','Node.js']","['Address','Transaction Hash','Block','Token','ENS-like Search']",TRUE,TRUE,Free,"[{'label':'Explore','url':'https://linea.forhumans.app/','type':'external'}]"
