slug,provider,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,actionButtons
metamask,MetaMask,FALSE,"['Web', 'iOS', 'Android']",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Helpdesk']","[""Multiple audits by third parties""]","['EN','ES','FR']",TRUE,"[{'label': 'Website', 'url': 'https://metamask.io/', 'type': 'external'}]"
gateweb3wallet,Gate Web3 Wallet,TRUE,"['iOS', 'Android']",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Discord']","[""Not publicly specified""]",['EN'],FALSE,"[{'label':'Website','url':'https://www.gate.io/wallet','type':'external'}]"
coinbasewallet,Coinbase Wallet,FALSE,"['iOS', 'Android']",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Helpdesk']","[""Multiple audits by third parties""]","['EN','ES','FR']",FALSE,"[{'label':'Website','url':'https://wallet.coinbase.com/','type':'external'}]"
imtoken,imToken Wallet,FALSE,"['iOS', 'Android']",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Helpdesk']","[""Third-party audits""]","['EN','CN']",FALSE,"[{'label':'Website','url':'https://token.im/','type':'external'}]"
safepal,SafePal Wallet,FALSE,"['iOS', 'Android']",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,['Email'],"[""Audited by CertiK""]",['EN'],FALSE,"[{'label':'Website','url':'https://www.safepal.io/','type':'external'}]"
okxwallet,OKX Wallet,FALSE,"['iOS', 'Android']",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Helpdesk']","[""Not publicly disclosed""]",['EN'],FALSE,"[{'label':'Website','url':'https://www.okx.com/wallet','type':'external'}]"
bitgetwallet,Bitget Wallet,FALSE,"['iOS', 'Android', 'Web']",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",FALSE,Free,"['Email','Helpdesk']","[""Not publicly specified""]","['EN','CN']",FALSE,"[{'label':'Website','url':'https://www.bitget.com/en/wallet','type':'external'}]"
trustwallet,Trust Wallet,FALSE,"['iOS', 'Android', 'Chrome']",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Helpdesk']","[""Multiple security audits""]","['EN','ES','FR','ZH','JA']",TRUE,"[{'label':'Website','url':'https://trustwallet.com/','type':'external'}]"
lineasafe,Linea Safe,FALSE,['Web'],FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Community']","[""Security support by Protofire""]",['EN'],TRUE,"[{'label':'Website','url':'https://safe.linea.build/welcome','type':'external'}]"
trezor,Trezor,FALSE,"['Hardware', 'Desktop', 'Web']",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",FALSE,Paid,"['Email','Helpdesk']","[""Multiple security audits""]","['EN','FR','ES','DE','ZH','JA']",TRUE,"[{'label':'Website','url':'https://trezor.io/','type':'external'}]"
ledger,Ledger,FALSE,"['Hardware', 'Desktop', 'iOS', 'Android']",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721""]",FALSE,Paid,"['Email','Helpdesk']","[""Multiple security audits""]","['EN','FR','ES','DE','ZH','JA']",TRUE,"[{'label':'Website','url':'https://shop.ledger.com/products/ledger-nano-s-plus','type':'external'}]"
rabby,Rabby,TRUE,"['Chrome','Firefox']",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,Free,"['Email','Discord']","[""Audit by CertiK, 2023""]","['EN','ZH']",TRUE,"[{'label':'Website','url':'https://rabby.io/','type':'external'}]"
