slug,provider,chain,dataSources,hasDashboard,availableApis,price,starred,actionButtons
blocknative-mainnet,Blocknative,mainnet,"[""OP Stack Batch Transactions"",""Blob Data"",""Ethereum Mempool Transactions""]",TRUE,"[""Batch Decoding API"",""Blob Archive API"",""Mempool Archive"",""Ethernow explorer""]",$0.00,FALSE,"[""[Dashboard](https://www.blocknative.com/)""]"
tenderly-mainnet,Tenderly,mainnet,"[""Transaction Monitoring"",""Contract Events"",""Alerts"",""Simulation RPC"",""Web3 Actions"",""Wallet Monitoring""]",TRUE,"[""Alerts API"",""Web3 Actions API""]",$0/$45/mo/$450/mo/Custom,FALSE,"[""[Dashboard](https://dashboard.tenderly.co/remy65/project/infrastructure)""]"
dune-mainnet,!provider:dune,mainnet,,,,,,"[""[Dashboard](https://dune.com/blockchains/optimism)""]"
growthepie-mainnet,!provider:growthepie,mainnet,,,,,,"[""[Dashboard](https://www.growthepie.com/chains/optimism)""]"
op-analytics-mainnet,OP Analytics,mainnet,"[""Incentive Tracking"",""Helper Functions"",""Public Analysis""]",FALSE,"[""GitHub API""]",$0.00,FALSE,"[""[GitHub](https://github.com/ethereum-optimism/op-analytics)""]"
nansen-mainnet,!provider:nansen,mainnet,,,,,,"[""[Dashboard](https://app.nansen.ai/macro/blockchains?chain=optimism)""]"
dappradar-mainnet,!provider:dappradar,mainnet,,,,,,"[""[Dashboard](https://dappradar.com/chain/optimism)""]"
l2beat-mainnet,!provider:l2beat,mainnet,,,,,,"[""[Dashboard](https://l2beat.com/scaling/projects/op-mainnet)""]"
blockworks-mainnet,!provider:blockworks,mainnet,,,,,,"[""[Dashboard](https://blockworks.com/analytics/optimism)""]"
defillama-mainnet,!provider:defillama,mainnet,,,,,,"[""[Dashboard](https://defillama.com/chain/op-mainnet)""]"
glassnode-mainnet,!provider:glassnode,mainnet,,,,,,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=OP)""]"
messari-mainnet,!provider:messari,mainnet,,,,,,"[""[Dashboard](https://messari.io/project/optimism)""]"
