slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
alchemy-mainnet-free,!provider:alchemy-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://www.alchemy.com/subgraphs)"",""[Docs](https://www.alchemy.com/docs/reference/subgraphs-quickstart)""]",,,,
alchemy-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/op-mainnet-api-quickstart)""]",,,,
alchemy-mainnet-enterprise,!provider:alchemy-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Enterprise](https://auth.alchemy.com/?redirectUrl=https%3A%2F%2Fdashboard.alchemy.com%2Fsignup%2F%3Fa%3Dpricing%26appRedir%3D1)"",""[Docs](https://www.alchemy.com/docs/reference/op-mainnet-api-quickstart)""]",,,,
alchemy-testnet-free,!provider:alchemy-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://www.alchemy.com/subgraphs)"",""[Docs](https://www.alchemy.com/docs/reference/subgraphs-quickstart)""]",,,,
alchemy-testnet-pay-as-you-go,!provider:alchemy-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,
alchemy-testnet-enterprise,!provider:alchemy-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Enterprise](https://auth.alchemy.com/?redirectUrl=https%3A%2F%2Fdashboard.alchemy.com%2Fsignup%2F%3Fa%3Dpricing%26appRedir%3D1)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,
chainstack-mainnet-free,!provider:chainstack-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://chainstack.com/subgraphs/)"",""[Docs](https://docs.chainstack.com/docs/subgraphs-introduction)""]",,,,
chainstack-mainnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/optimism-tooling#graphql)""]",,,,
chainstack-mainnet-enterprise,!provider:chainstack-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Enterprise](https://console.chainstack.com/user/account/create?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/optimism-tooling#graphql)""]",,,,
chainstack-testnet-free,!provider:chainstack-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://chainstack.com/subgraphs/)"",""[Docs](https://docs.chainstack.com/docs/subgraphs-introduction)""]",,,,
chainstack-testnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/optimism-tooling#graphql)""]",,,,
chainstack-testnet-enterprise,!provider:chainstack-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Enterprise](https://console.chainstack.com/user/account/create?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/optimism-tooling#graphql)""]",,,,
dipdup-mainnet-free,!provider:dipdup-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/optimism#optimism-mainnet)""]",,,,
dipdup-mainnet-enterprise,!provider:dipdup-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/optimism#optimism-mainnet)""]",,,,
dipdup-testnet-free,!provider:dipdup-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/optimism#optimism-sepolia)""]",,,,
dipdup-testnet-enterprise,!provider:dipdup-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/optimism#optimism-sepolia)""]",,,,
