slug,provider,chain,technology,accessPrice,queryPrice,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,actionButtons
api3-mainnet,!provider:api3,mainnet,,,,,,,,,,,,,,"[""[Docs](https://docs.api3.org/)""]"
api3-testnet,!provider:api3,testnet,,,,,,,,,,,,,,"[""[Docs](https://docs.api3.org/)""]"
chainlink-mainnet,!provider:chainlink,mainnet,,,,,,,,,,,,,,"[""[ETH/USD](https://data.chain.link/feeds/optimism/mainnet/eth-usd)"", ""[Docs](https://docs.chain.link/)""]"
chainlink-testnet,!provider:chainlink,testnet,,,,,,,,,,,,,,"[""[Docs](https://docs.chain.link/)""]"
chronicle-mainnet,!provider:chronicle,mainnet,,,,,,,,,,,,,,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#blockchain=OETH&contract=0x5E16CA75000fb2B9d7B1184Fa24fF5D938a345Ef&txn=0xb7c1a0728ac868bc4316c367ce8edcc25dbe36098dd0a7c3dad071d64462fb3a)""]"
chronicle-testnet,!provider:chronicle,testnet,,,,,,,,,,,,,,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&contract=0x77833F676fe5FB32e55986770092f54707d72c21&blockchain=ARB-SEP&txn=0x16a97856d9e63af6caf2debdbaadcc1a0a45f61d7a81b72e430555295d1eb278)""]"
dia-mainnet,!provider:dia,mainnet,,,,,,,,,,,,,,"[""[Docs](https://www.diadata.org/optimism-price-oracles/)""]"
dia-testnet,!provider:dia,testnet,,,,,,,,,,,,,,"[""[Docs](https://www.diadata.org/optimism-price-oracles/)""]"
ora-mainnet,!provider:ora,mainnet,,,,,,,,,,,,,,"[""[Docs](https://docs.ora.io/doc/onchain-ai-oracle-oao/onchain-ai-oracle)""]"
pyth-mainnet,!provider:pyth,mainnet,,,,,,,,,,,,,,"[""[Docs](https://docs.pyth.network/price-feeds/price-feeds)""]"
pyth-testnet,!provider:pyth,testnet,,,,,,,,,,,,,,"[""[Docs](https://docs.pyth.network/price-feeds/price-feeds)""]"
redstone-mainnet,!provider:redstone,mainnet,,,,,,,,,,,,,,"[""[Docs](https://docs.redstone.finance/)""]"
supra-mainnet,!provider:supra,mainnet,,,,,,,,,,,,,,"[""[Docs](https://docs.supra.com/)""]"
