slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
across-mainnet,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
allbridge-core-polygon,!provider:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,
altitude-mainnet,!provider:altitude,,mainnet,,,,,,,,,,,,,,,,,
arianee-mainnet,Arianee,"[""[Protocol](https://www.arianee.org)"",""[Docs](https://docs.arianee.org/)""]",mainnet,Tokenized Digital Product Passports,,,FALSE,"[""Discord"",""Email"",""Twitter""]",FALSE,"[""Tokenization API"",""Ownership Management""]","[""On-chain event tracking""]","[""Multi-EVM compatible"", ""dynamic NFTs"", ""product lifecycle tracking""]","[""ERC-721""]",Gas Fee,TRUE,"""Community governance ($ARIA20), Data integrity and ownership transparency""","[""Yes""]",Decentralized,"[""JavaScript SDK""]",
asterizm-mainnet,!provider:asterizm,,mainnet,,,,,,,,,,,,,,,,,
axelar-mainnet,!provider:axelar,,mainnet,,,,,,,,,,,,,,,,,
celer-polygon,!provider:celer,,mainnet,,,,,,,,,,,,,,,,,
chainlink-bridge-polygon,!provider:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,
chainport-polygon,!provider:chainport,,mainnet,,,,,,,,,,,,,,,,,
chainspot-mainnet,!provider:chainspot,,mainnet,,,,,,,,,,,,,,,,,
connext-mainnet,!provider:connext,,mainnet,,,,,,,,,,,,,,,,,
crosscurve-polygon,!provider:crosscurve,,mainnet,,,,,,,,,,,,,,,,,
debridge-mainnet,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
defiway-bridge-polygon,!provider:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,
ecoportal-mainnet,!provider:ecoportal,,mainnet,,,,,,,,,,,,,,,,,
hashport-mainnet,!provider:hashport,,mainnet,,,,,,,,,,,,,,,,,
hyperlane-mainnet,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
interport-polygon,!provider:interport,,mainnet,,,,,,,,,,,,,,,,,
jumper-mainnet,!provider:jumper,,mainnet,,,,,,,,,,,,,,,,,
layerswap-polygon,!provider:layerswap,,mainnet,,,,,,,,,,,,,,,,,
layerzero-mainnet,!provider:layerzero,"[""[Docs](https://docs.layerzero.network/v2/deployments/evm-chains/polygon-mainnet-oft-quickstart)""]",mainnet,,,,,,,,,,,,,,,,,
lifi-mainnet,!provider:lifi,,mainnet,,,,,,,,,,,,,,,,,
mayan-mainnet,!provider:mayan,,mainnet,,,,,,,,,,,,,,,,,
meson-mainnet,!provider:meson,,mainnet,,,,,,,,,,,,,,,,,
messina-mainnet,!provider:messina,,mainnet,,,,,,,,,,,,,,,,,
okutrade-polygon,!provider:okutrade,,mainnet,,,,,,,,,,,,,,,,,
orbiter-mainnet,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
owlto-polygon,!provider:owlto,,mainnet,,,,,,,,,,,,,,,,,
pheasant-mainnet,!provider:pheasant,,mainnet,,,,,,,,,,,,,,,,,
rango-mainnet,!provider:rango,,mainnet,,,,,,,,,,,,,,,,,
rhinofi-polygon,!provider:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,!provider:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,
rubic-polygon,!provider:rubic,,mainnet,,,,,,,,,,,,,,,,,
safeswap-mainnet,!provider:safeswap,,mainnet,,,,,,,,,,,,,,,,,
smolrefuel-polygon,!provider:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,
squid-mainnet,!provider:squid,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
symbiosis-polygon,!provider:symbiosis,,mainnet,,,,,,,,,,,,,,,,,
synapse-polygon,!provider:synapse,,mainnet,,,,,,,,,,,,,,,,,
transporter-polygon,!provider:transporter,,mainnet,,,,,,,,,,,,,,,,,
umbria-polygon,!provider:umbria,,mainnet,,,,,,,,,,,,,,,,,
universalx-polygon,!provider:universalx,,mainnet,,,,,,,,,,,,,,,,,
utexo-mainnet,!provider:utexo,,mainnet,,,,,,,,,,,,,,,,,
valuerouter-polygon,!provider:valuerouter,,mainnet,,,,,,,,,,,,,,,,,
wanchain-mainnet,!provider:wanchain,,mainnet,,,,,,,,,,,,,,,,,
wormhole-mainnet,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
zkbridge-mainnet,!provider:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
