slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
cookbook-dev,!provider:cookbook-dev,,,,,,,,
enso,!provider:enso,,,,,,,,
forge,!provider:forge,,,,,,,,
mimic,!provider:mimic,,,,,,,,
remix,!provider:remix,,,,,,,,
swing,!provider:swing,,,,,,,,
thirdweb-enterprise,!provider:thirdweb-enterprise,,,,,,,,
thirdweb-growth,!provider:thirdweb-growth,,,,,,,,
thirdweb-pro,!provider:thirdweb-pro,,,,,,,,
thirdweb-scale,!provider:thirdweb-scale,,,,,,,,
thirdweb-starter,!provider:thirdweb-starter,,,,,,,,
vialabs,!provider:vialabs,,,,,,,,
paintswap-vrf,Paintswap,"[""[Website](https://vrf.paintswap.io/)"",""[Docs](https://vrf.paintswap.io/documentation)""]",Tool,"[""VRF"",""Randomness"",""Oracle"",""Infrastructure"",""Sonic""]",Gas only,,Free,"A fast, scalable VRF providing fully verifiable on-chain randomness from request to fulfillment, without any additional fees.",FALSE
