slug,tag,description,provider,toolType,price,starred,actionButtons
stellar-sdk-js,"[""JavaScript"",""Horizon"",""Soroban""]","JavaScript SDK for building transactions, accounts, and Soroban contracts",Stellar SDK (JavaScript),SDK,Free,TRUE,"[{""label"":""Docs"",""url"":""https://github.com/stellar/js-stellar-sdk"",""type"":""external""}]"
stellar-sdk-rust,"[""Rust"",""Soroban""]",Rust SDK for developing and deploying Soroban smart contracts,Stellar SDK (Rust),SDK,Free,TRUE,"[{""label"":""Docs"",""url"":""https://github.com/stellar/rs-soroban-sdk"",""type"":""external""}]"
stellar-sdk-go,"[""Go"",""Horizon"",""Soroban""]","Go SDK for building transactions, accounts, and Soroban contracts",Stellar SDK (Go),SDK,Free,TRUE,"[{""label"":""Docs"",""url"":""https://github.com/stellar/go"",""type"":""external""}]"
stellar-sdk-py,"[""Python"",""Horizon"",""Soroban""]","Python SDK for building transactions, accounts, and Soroban contracts",Stellar SDK (Python),SDK,Free,TRUE,"[{""label"":""Docs"",""url"":""https://github.com/StellarCN/py-stellar-base"",""type"":""external""}]"
stellar-sdk-java,"[""Java"",""Horizon"",""Soroban""]","Java SDK for building transactions, accounts, and Soroban contracts",Stellar SDK (Java),SDK,Free,TRUE,"[{""label"":""Docs"",""url"":""https://github.com/lightsail-network/java-stellar-sdk"",""type"":""external""}]"
stellar-sdk-csharp,"[""C#"",""Horizon""]",".NET SDK for interacting with Horizon, community-maintained",Stellar SDK (.NET),SDK,Free,FALSE,"[{""label"":""Docs"",""url"":""https://github.com/Beans-BV/dotnet-stellar-sdk"",""type"":""external""}]"
stellar-sdk-ruby,"[""Ruby"",""Horizon""]","Ruby SDK for building transactions and connecting to Horizon, community-maintained",Stellar SDK (Ruby),SDK,Free,FALSE,"[{""label"":""Docs"",""url"":""https://github.com/stellar/ruby-stellar-sdk"",""type"":""external""}]"
stellar-sdk-ios-mac,"[""iOS"",""macOS"",""Horizon"",""Soroban""]","Open-source SDK for iOS/macOS, supports Horizon and Soroban, community-maintained",Stellar SDK (iOS/macOS),SDK,Free,FALSE,"[{""label"":""Docs"",""url"":""https://github.com/Soneso/stellar-ios-mac-sdk"",""type"":""external""}]"
stellar-sdk-flutter,"[""Flutter"",""Horizon"",""Soroban""]","Open-source SDK for Flutter, supports Horizon and Soroban, community-maintained",Stellar SDK (Flutter),SDK,Free,FALSE,"[{""label"":""Docs"",""url"":""https://github.com/Soneso/stellar-flutter-sdk"",""type"":""external""}]"
stellar-laboratory,"[""Testing"",""Horizon"",""Soroban""]","Web tool for testing transactions, accounts, and Soroban contracts",Stellar Laboratory,Testing Environment,Free,TRUE,"[{""label"":""Docs"",""url"":""https://laboratory.stellar.org/"",""type"":""external""}]"
soroban-cli,"[""CLI"",""Soroban""]","CLI for developing, testing, and deploying Soroban smart contracts",Soroban CLI,CLI,Free,FALSE,"[{""label"":""Docs"",""url"":""https://github.com/stellar/stellar-cli"",""type"":""external""}]"
