slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
blockdaemon-mainnet-free,Blockdaemon,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""horizon"",""soroban-rpc""]","[""~300 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.blockdaemon.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.blockdaemon.com/protocols/stellar"",""type"":""external""}]"
blockdaemon-mainnet-growth,Blockdaemon,Pay-As-You-Go,Recent-State,mainnet,null,null,null,null,null,FALSE,TRUE,"[""horizon"",""soroban-rpc""]","[""6k / 12k req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.blockdaemon.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.blockdaemon.com/protocols/stellar"",""type"":""external""}]"
blockdaemon-mainnet-dedicated,Blockdaemon,Dedicated,Recent-State,mainnet,Custom,Custom,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.blockdaemon.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.blockdaemon.com/protocols/stellar"",""type"":""external""}]"
blockdaemon-testnet-free,Blockdaemon,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""~300 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.blockdaemon.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.blockdaemon.com/protocols/stellar"",""type"":""external""}]"
blockdaemon-testnet-growth,Blockdaemon,Pay-As-You-Go,Recent-State,testnet,null,null,null,null,null,FALSE,TRUE,"[""horizon"",""soroban-rpc""]","[""6k / 12k req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.blockdaemon.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.blockdaemon.com/protocols/stellar"",""type"":""external""}]"
blockdaemon-testnet-dedicated,Blockdaemon,Dedicated,Recent-State,testnet,null,Custom,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.blockdaemon.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.blockdaemon.com/protocols/stellar"",""type"":""external""}]"
quicknode-mainnet-free,QuickNode,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""horizon""]","[""~1000 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.quicknode.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.quicknode.com/docs/stellar"",""type"":""external""}]"
quicknode-mainnet-growth,QuickNode,Pay-As-You-Go,Recent-State,mainnet,$49/$249/$500/$999 included into query fees,$10-24.8 per 1M requests,null,null,null,FALSE,FALSE,"[""horizon""]","[""3k / 7.5k / 15k /30k req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.quicknode.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.quicknode.com/docs/stellar"",""type"":""external""}]"
quicknode-mainnet-enterprise,QuickNode,Enterprise,Recent-State,mainnet,Custom,Custom,null,null,null,FALSE,FALSE,"[""horizon""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.quicknode.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.quicknode.com/docs/stellar"",""type"":""external""}]"
quicknode-testnet-free,QuickNode,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""horizon""]","[""3M requests per month""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"",""url"":""https://www.quicknode.com/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.quicknode.com/docs/stellar"",""type"":""external""}]"
