slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
redstone-mainnet,!provider:redstone,"[""[Docs](https://docs.ton.org/ecosystem/oracles/redstone)""]",mainnet,,,,,,,,,,,
redstone-testnet,!provider:redstone,"[""[Docs](https://docs.ton.org/ecosystem/oracles/redstone)""]",testnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.ton.org/ecosystem/oracles/pyth)"",""[Explorer](https://pyth.network/metrics)""]",mainnet,,,,,,,,,,,
pyth-testnet,!provider:pyth,"[""[Docs](https://docs.ton.org/ecosystem/oracles/pyth)"",""[Explorer](https://pyth.network/metrics)""]",testnet,,,,,,,,,,,
orbs-mainnet,Orbs,"[""[Website](https://www.orbs.com/ton-access/)""]",mainnet,Layer 3 Infrastructure,TRUE,"[""RPC"",""Randomness""]","[""Validator status""]","[""Decentralized RPC"",""V3 Randomness""]","[""Infrastructure"",""Randomness""]",Proof-of-Stake,TRUE,"PoS Validators (Guardians)","[""TypeScript""]","[""Internal"",""External Audits""]"
orbs-testnet,Orbs,"[""[Website](https://www.orbs.com/ton-access/)""]",testnet,Layer 3 Infrastructure,TRUE,"[""RPC"",""Randomness""]","[""Validator status""]","[""Decentralized RPC"",""V3 Randomness""]","[""Infrastructure"",""Randomness""]",Proof-of-Stake,TRUE,"PoS Validators (Guardians)","[""TypeScript""]","[""Internal"",""External Audits""]"
switchboard-mainnet,Switchboard,"[""[Docs](https://docs.switchboard.xyz/)""]",mainnet,Decentralized Oracle,FALSE,"[""Price Feeds"",""Randomness""]","[""Task Monitoring""]","[""Customizable Feeds"",""TEE Support""]","[""Price"",""Sports"",""Weather""]",Decentralized,TRUE,Oracle queues and staking,"[""Rust"",""TypeScript (@switchboard-xyz/ton-sdk)""]","[""OtterSec""]"
switchboard-tesnet,Switchboard,"[""[Docs](https://docs.switchboard.xyz/)""]",testnet,Decentralized Oracle,FALSE,"[""Price Feeds"",""Randomness""]","[""Task Monitoring""]","[""Customizable Feeds"",""TEE Support""]","[""Price"",""Sports"",""Weather""]",Decentralized,TRUE,Oracle queues and staking,"[""Rust"",""TypeScript (@switchboard-xyz/ton-sdk)""]","[""OtterSec""]"
supra-mainnet,!provider:supra,"[""[Website](https://supra.com/)"",""[Docs](https://supra.com/docs)""]",mainnet,,,,,,,,,,,
supra-testnet,!provider:supra,"[""[Website](https://supra.com/)"",""[Docs](https://supra.com/docs)""]",testnet,,,,,,,,,,,
chainlink-mainnet,!provider:chainlink,,mainnet,,,,,,,,,,,
chainlink-testnet,!provider:chainlink,,testnet,,,,,,,,,,,
band-mainnet,!provider:band,,mainnet,,,,,,,,,,,
band-testnet,!provider:band,,testnet,,,,,,,,,,,
dia-mainnet,!provider:dia,,mainnet,,,,,,,,,,,
dia-testnet,!provider:dia,,testnet,,,,,,,,,,,
api3-mainnet,!provider:api3,,mainnet,,,,,,,,,,,
api3-testnet,!provider:api3,,testnet,,,,,,,,,,,
