slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
binance-wallet,!provider:binance-wallet,"[""[Website](https://www.binance.com/en/web3wallet)""]",,,,,,,,,,,,,,,,,
bybit-wallet,!provider:bybit-wallet,"[""[Website](https://www.bybit.com/web3)""]",,,,,,,,,,,,,,,,,
c98wallet,!provider:c98wallet,"[""[Website](https://coin98.com/)""]",,,,,,,,,,,,,,,,,
coin-wallet,!provider:coin-wallet,"[""[Website](https://coin.space/)""]",,,,,,,,,,,,,,,,,
exodus,!provider:exodus,"[""[Website](https://www.exodus.com/)""]",,,,,,,,,,,,,,,,,
gate,!provider:gate,,,,,,,,,,,,,,,,,,
gem-wallet,!provider:gem-wallet,"[""[Website](https://gemwallet.com/)""]",,,,,,,,,,,,,,,,,
guarda,!provider:guarda,"[""[Website](https://guarda.com/)""]",,,,,,,,,,,,,,,,,
ledger,!provider:ledger,"[""[Website](https://www.ledger.com/)""]",,,,,,,,,,,,,,,,,
math-wallet,!provider:math-wallet,"[""[Website](https://mathwallet.org/)""]",,,,,,,,,,,,,,,,,
okxwallet,!provider:okxwallet,"[""[Website](https://www.okx.com/web3)""]",,,,,,,,,,,,,,,,,
onekey,!provider:onekey,"[""[Website](https://onekey.so/)""]",,,,,,,,,,,,,,,,,
safepal,!provider:safepal,"[""[Website](https://safepal.com/)""]",,,,,,,,,,,,,,,,,
tangem,!provider:tangem,"[""[Website](https://tangem.com/)""]",,,,,,,,,,,,,,,,,
tokenpocket,!provider:tokenpocket,"[""[Website](https://www.tokenpocket.pro/)""]",,,,,,,,,,,,,,,,,
trustwallet,!provider:trustwallet,"[""[Website](https://trustwallet.com/)""]",,,,,,,,,,,,,,,,,
tonkeeper,Tonkeeper,"[""[Website](https://tonkeeper.com/)"",""[Telegram](https://t.me/tonkeeper)""]",TRUE,"[""iOS"",""Android"",""Browser Extension"",""Desktop""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT"",""TEP-74"",""TEP-62""]",TRUE,$0,"[""telegram"",""email""]","[""Certik""]","[""EN"",""RU"",""ZH"",""ES"",""ID"",""UK""]",TRUE
mytonwallet,MyTonWallet,"[""[Website](https://mytonwallet.io/)"",TRUE,"[""Browser Extension"",""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",TRUE,$0,"[""telegram"",""email""]","[""telegram"",""chatbot""]","[""EN"",""RU"",""ZH"",""ES"",""ID""]",FALSE
tonhub,Tonhub,"[""[Website](https://tonhub.com/)"",]",TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",TRUE,$0,"[""telegram"",""email""]",,"[""EN"",""RU""]",FALSE
wallet-telegram,Wallet (Telegram),"[""[Website](https://wallet.tg/)""]",FALSE,"[""iOS"",""Android"",""Desktop""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT"",""USDT-TON""]",FALSE,$0,"[""telegram"",""chatbot""]",,"[""EN"",""RU"",""UA"",""Multilingual""]",FALSE
openmask,OpenMask,"[""[Website](https://www.openmask.app/)""]",FALSE,"[""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",FALSE,$0,"[""telegram"",""email""]",,"[""EN""]",FALSE
