slug,provider,plan,nodeType,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedBlocksBehindAvg,actionButtons
1rpc-free-recent-state,1rpc,Free,Recent-State,0,0,best-effort,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20,000 protected TXs per day""]","[""Privacy Protected Relays""]",[],"[""Multiple Regions""]",null,null,null,"[{""label"":""Send Requests"", ""url"":""https://1rpc.io/astr"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.1rpc.io/"", ""type"":""external""}]"
1rpc-pay-as-you-go-recent-state,1rpc,Pay-as-you-go,Recent-State,$9.9-$29.90,0,99.90%,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40,000 - 100,000 protected transactions per day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]",[],"[""Multiple Regions""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.1rpc.io/#pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.1rpc.io/"", ""type"":""external""}]"
1rpc-enterprise-recent-state,1rpc,Enterprise,Recent-State,custom,custom,custom,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],"[""Privacy Protected Relays"", ""Transaction Sanitizers""]",[],"[""Multiple Regions""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.1rpc.io/#pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.1rpc.io/"", ""type"":""external""}]"
alchemy-free-recent-state,Alchemy,Free,Recent-State,$0.00,$0 per 1M request,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens""]","[""1500 req/min""]","[""TX simulation""]","[""Basic monitoring"",""Usage analytics""]",null,null,null,null,"[{""label"":""Send Requests"", ""url"":""https://astar-mainnet.g.alchemy.com/public"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.alchemy.com/docs"", ""type"":""external""}]"
alchemy-pay-as-you-go-recent-state,Alchemy,Pay-as-you-go,Recent-State,$0.00,$0.40/1M CUs,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens""]","[""18000 req/min""]","[""TX simulation""]","[""Usage analytics"",""Custom alerts"",""Reporting""]",null,null,null,null,"[{""label"":""Buy"", ""url"":""https://auth.alchemy.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.alchemy.com/docs"", ""type"":""external""}]"
alchemy-enterprise-recent-state,Alchemy,Enterprise,Recent-State,Custom,Custom pricing,custom,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens""]","[""custom limits""]","[""TX simulation""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]",null,null,null,null,"[{""label"":""Buy"", ""url"":""https://auth.alchemy.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.alchemy.com/docs"", ""type"":""external""}]"
allthatnode-free-full-archive,AllThatNode,Free,Full Archive,$0.00,$0 per 1M request,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""9000 CU/min""]",[],"[""Basic monitoring"",""Usage analytics""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.allthatnode.com/pricing.dsrv"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.allthatnode.com/docs/welcome-to-all-that-node"", ""type"":""external""}]"
allthatnode-pay-as-you-go-full-archive,AllThatNode,Pay-as-you-go,Full Archive,$29/$139,$0.58/$0.56 per 1M CUs,99.90%,null,null,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""20000 CU/min"",""120000 CU/min""]",[],"[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.allthatnode.com/pricing.dsrv"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.allthatnode.com/docs/welcome-to-all-that-node"", ""type"":""external""}]"
allthatnode-enterprise-full-archive,AllThatNode,Enterprise,Full Archive,Custom,Custom pricing,custom,null,null,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""custom limits""]",[],"[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://www.allthatnode.com/pricing.dsrv"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.allthatnode.com/docs/welcome-to-all-that-node"", ""type"":""external""}]"
ankr-free-recent-state,Ankr,Free,Recent-State,$0.00,$0 per 1M requests,null,null,null,FALSE,FALSE,[],"[""~1800 req/min""]",[],"[""Usage analytics"", ""Community support""]",null,null,null,null,
