slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
aa-bundler,AA Bundler,"[""[Website](https://github.com/Vid201/aa-bundler/)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Bundler"",""Web3 developer tools"",""Smart contract wallets""]",$0,Free,,"It is a specialized node that collects, validates, and bundles pseudo-transaction objects called UserOperations from an alternative mempool into a single transaction that is then submitted to an on-chain EntryPoint contract",FALSE
aarc,Aarc,"[""[Website](https://www.aarc.xyz/)"",""[Docs](https://docs.aarc.xyz/concepts/fees/)""]",Tool,"[""One-click deposits""]",$0,Free,,"It offers a modular, omnichain network and infrastructure for Web3 applications, focusing on simplifying user onboarding and managing multi-chain deposits.",FALSE
abi-parser,ABI Parser,"[""[Website](https://abi-parser-nvk.vercel.app/)""]",Tool,"[""ABI tools"",""Smart contract ABI"",""Decode Ethereum calldata"",""Encode smart contract data""]",$0,Free,,It interprets a smart contract's Application Binary Interface to enable human-readable interaction and seamless data exchange between off-chain applications and the blockchain,FALSE
agent-kit,Coinbase,"[""[Website](https://docs.cdp.coinbase.com/agent-kit/welcome)""]",Tool,"[""AI agents""]",$0,Free,,Toolkit enabling AI agents to interact with blockchain networks with secure wallet management and comprehensive onchain capabilities,FALSE
alchemy-bundler-free,Alchemy Bundler,"[""[Website](https://github.com/alchemyplatform/rundler)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",$0,Free,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-bundler-pay-as-you-go,Alchemy Bundler,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-bundler-enterprise,Alchemy Bundler,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Rundler"",""Web3 development"",""Smart contract wallets""]",Custom,Enterprise,,"It is a developer tool that aggregates multiple blockchain operations into a single transaction for efficient, reliable execution on-chain",FALSE
alchemy-gas-manager-free,Alchemy Gas Manager,"[""[Website](https://www.alchemy.com/dapps/gas-manager)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",$0,Free,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-gas-manager-pay-as-you-go,Alchemy Gas Manager,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-gas-manager-enterprise,Alchemy Gas Manager,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/resources/terms#gas-manager)""]",Tool,"[""Gas sponsorship"",""Gasless transactions"",""Paymaster"",""Transaction fee management""]",Custom,Enterprise,,"It is an ERC-4337 compliant paymaster, allowing developers to sponsor the gas fees for their users on a blockchain",FALSE
alchemy-smart-wallet-free,Alchemy Smart Wallet,"[""[Website](https://www.alchemy.com/smart-wallets-infrastructure)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",$0,Free,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-smart-wallet-pay-as-you-go,Alchemy Smart Wallet,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-smart-wallet-enterprise,Alchemy Smart Wallet,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets)""]",Tool,"[""Account Abstraction"",""Smart Contract Wallets"",""Wallet Developer Tools"",""Embedded Wallets""]",Custom,Enterprise,,"Provides the infrastructure to build secure, user-friendly web3 applications, streamlining the onboarding process for end-users",FALSE
alchemy-transaction-free,Alchemy Transaction,"[""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",$0,Free,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
