slug,provider,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,actionButtons
1inch-wallet,1inch Wallet,TRUE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""Cross-chain EVM tokens""]",FALSE,0,"[""email"",""github"",""discord""]",,"[""Multilingual""]",FALSE,"[""[Website](https://1inch.io/wallet/)""]"
bifrost,Bifrost,FALSE,"[""iOS"",""Android"",""Web""]",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20""]",FALSE,0,"[""email"",""discord""]",,"[""EN""]",FALSE,"[""[Website](https://bifrostwallet.com/)""]"
coinbasewallet,Coinbase Wallet,TRUE,"[""Web"",""Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,0,"[""email"",""helpdesk""]",,"[""EN""]",FALSE,"[""[Website](https://wallet.coinbase.com/)""]"
coolwallet,Coolwallet,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",TRUE,Paid,"[""email"",""telegram""]",,"[""EN"",""ZH""]",FALSE,"[""[Website](https://www.coolwallet.io/)""]"
dcent,D’CENT,FALSE,"[""iOS"",""Android"",""Hardware""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",TRUE,Paid,"[""email"",""telegram""]",,"[""EN"",""ZH"",""JA""]",FALSE,"[""[Website](https://dcentwallet.com/)""]"
fearless,Fearless Wallet,TRUE,"[""iOS"",""Android"",""Chrome ext""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC‑20"",""ERC‑721"",""ERC‑1155"",""DOT"",""KSM""]",TRUE,0,"[""email"",""Telegram"",""GitHub""]",,"[""Multilingual""]",FALSE,"[""[Website](https://fearlesswallet.io/)""]"
gemwallet,Gem Wallet,TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""BRC-20"",""BEP-20"",""SPL"",""JETTON""]",TRUE,0,"[""email"",""github"",""discord"",""helpdesk""]",,"[""Multilingual""]",FALSE,"[""[Website](https://gemwallet.com/)""]"
hana-wallet,Hana Wallet,FALSE,"[""iOS"",""Android"",""Chrome""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""Multiple blockchains""]",TRUE,0,"[""email"",""helpdesk""]",,"[""Multilingual""]",FALSE,"[""[Website](https://hanawallet.io/)""]"
ledger,Ledger SAS,FALSE,"[""Desktop"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",TRUE,Paid,"[""email"",""helpdesk""]","[""Regular audits by third parties""]","[""EN"",""FR"",""ES"",""DE"",""ZH"",""JA""]",FALSE,"[""[Website](https://www.ledger.com/)""]"
metamask,Metamask,TRUE,"[""Chrome"",""Firefox"",""Edge"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155""]",FALSE,0,"[""email"",""helpdesk""]","[""October 2024 by ConsenSys Diligence""]","[""EN"",""ES"",""FR"",""RU"",""ZH"",""JA""]",FALSE,"[""[Website](https://metamask.io/)""]"
