slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,3xpl,3xpl Explorer,"[""[Explore](https://3xpl.com/)""]",Custom,"[""Transactions"",""Blocks""]","[""Ad-free"",""Ultra-fast""]",FALSE,"[""JSON API""]",,"[""Address"",""Tx""]",FALSE,TRUE,Free,"[""block explorer"",""multi-chain"",""JSON API"",""ad-free""]"
arbiscan,Etherscan,Arbiscan,"[""[Explore](https://arbiscan.io/)"",""[Docs](https://docs.etherscan.io/)""]",Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free,"[""block explorer"",""Arbitrum"",""Etherscan"",""EVM""]"
arkham,Arkham,Arkham Explorer,"[""[Explore](https://arkm.com/register?ref=aee358ba-e4d6-455a-a6e0-741243247160)"",""[Docs](https://codex.arkm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Entity Labeling"",""Relationship Graphs"",""De-anonymization"",""Portfolio Tracking""]",FALSE,"[""REST API""]","[""Python"",""TypeScript""]","[""Address"",""Entity"",""Transaction Hash"",""Token""]",FALSE,TRUE,Partially paid,"[""block explorer"",""analytics"",""entity labels"",""portfolio""]"
beaconchain,Beaconcha.in,Beaconcha.in Explorer,"[""[Docs](https://docs.beaconcha.in/api/overview)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Gas Tracker"",""Stats"",""Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,"[""block explorer"",""Ethereum"",""beacon chain"",""validators""]"
berascan,Berachain,BeraScan,"[""[Explore](https://berascan.com/)"",""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts"",""Blocks""]",,FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""block explorer"",""Berachain"",""EVM"",""contracts""]"
beryx,Beryx,Beryx Explorer,"[""[Explore](https://beryx.io/)""]",Custom,"[""Accounts"",""Contracts"",""Gas"",""Mempool""]",,FALSE,"[""JSON-RPC""]",,"[""Height"",""Block"",""Address"",""Message ID"",""Event""]",TRUE,TRUE,Free,"[""block explorer"",""Filecoin"",""JSON-RPC"",""contracts""]"
bithomp,Bithomp,Bithomp Explorer,"[""[Explore](https://bithomp.com/explorer/)""]",Custom,"[""Accounts"",""Transactions"",""Ledgers""]","[""XRPL Analytics"",""Exchange-Focused Toolkit""]",FALSE,,,"[""Address"",""Transaction Hash"",""Ledger""]",FALSE,TRUE,Free,"[""block explorer"",""XRPL"",""accounts"",""ledgers""]"
bitquery,Bitquery,Bitquery Explorer,"[""[Explore](https://explorer.bitquery.io/)""]",Custom,"[""Complex Queries"",""DEX Trades"",""Money Flow""]","[""GraphQL Interface"",""Data Mining""]",FALSE,"[""GraphQL""]",,"[""Custom Queries""]",FALSE,TRUE,Free,"[""block explorer"",""GraphQL"",""DEX data"",""analytics""]"
blockchair,Blockchair,Blockchair Explorer,"[""[Website](https://blockchair.com/)"",""[Docs](https://blockchair.com/api/docs)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Multi-Chain Search"",""PDF Reports""]",FALSE,"[""REST API""]","[""Python"",""Node.js""]","[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,"[""block explorer"",""multi-chain"",""REST API"",""analytics""]"
blockcypher,BlockCypher,BlockCypher Explorer,"[""[Explore](https://live.blockcypher.com/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks""]","[""WebHooks"",""Payment Forwarding"",""Confidence Lookups""]",FALSE,"[""REST API"",""WebSockets""]","[""Go"",""Python"",""Ruby""]","[""Address"",""Tx"",""Block""]",FALSE,TRUE,Free,"[""block explorer"",""REST API"",""webhooks"",""multi-chain""]"
blockexplorer-one,Blockexplorer.one,Blockexplorer.one,"[""[Explore](https://blockexplorer.one/)""]",Custom,"[""Transactions"",""Blocks""]","[""Multi-chain UI""]",FALSE,"[""REST API""]",,"[""Address"",""Tx"",""Block""]",FALSE,TRUE,Free,"[""block explorer"",""multi-chain"",""REST API"",""search""]"
