slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,Alchemy Pay,Alchemy Pay Ramp,"[""[Website](https://alchemypay.org/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
banxa,Banxa,Banxa Ramp,"[""[Website](https://banxa.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
bleap,Bleap,Bleap Ramp,"[""[Website](https://bleap.finance/)""]",light,"[""sepa"",""fps"",""credit_card"",""debit_card"",""apple_pay"",""google_pay""]",,FALSE,,Web app,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
finchpay,Finchpay,Finchpay Ramp,"[""[Website](https://finchpay.io/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer""]","[""AF"",""BY"",""IR"",""KP"",""MM"",""RU"",""CU"",""US""]",FALSE,,Widget,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
guardarian,Guardarian,Guardarian Ramp,"[""[Website](https://guardarian.com/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""swift""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
halliday,Halliday,Halliday Ramp,"[""[Website](https://halliday.xyz/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""exchange_balancies""]","[""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",TRUE,,TBD,"[""fiat on-ramp"",""card payments"",""bank transfer"",""aggregator""]"
meld,Meld,Meld Ramp,"[""[Website](https://www.meld.io/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""PCI_DSS"",""SOC2_TYPE_II""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer"",""aggregator""]"
mercuryo,Mercuryo,Mercuryo Ramp,"[""[Website](https://mercuryoapp.app.link/4SQii)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",FALSE,"[""PCI_DSS"",""ISO27001""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
moonpay,MoonPay,MoonPay Ramp,"[""[Website](https://www.moonpay.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay"",""paypal""]","[""AF"",""CN"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""VE""]",FALSE,"[""ISO27001"",""PCI_DSS"",""SOC2_TYPE_II""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
mt-pelerin,Mt Pelerin,Mt Pelerin Ramp,"[""[Website](https://www.mtpelerin.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""BY"",""IR"",""RU"",""SY"",""CU"",""KP"",""US"",""IQ"",""SS""]",FALSE,,Widget,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
onramper,Onramper,Onramper Ramp,"[""[Website](https://onramper.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""SOC2_TYPE_I""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer"",""aggregator""]"
paybis,Paybis,Paybis Ramp,"[""[Website](https://paybis.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""swift"",""skrill"",""neteller""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
ramp-network,Ramp Network,Ramp Network Ramp,"[""[Website](https://ramp.network/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""apple_pay"",""google_pay"",""revolut_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""YE""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II"",""PCI_DSS""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
revolut,Revolut,Revolut Ramp,"[""[Website](https://www.revolut.com/ramp/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""revolut account""]","[""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""LY"",""MM"",""VE""]",FALSE,,API,"[""fiat on-ramp"",""card payments""]"
sardine,Sardine,Sardine Ramp,"[""[Website](https://www.sardine.ai/)""]",full,"[""ach"",""instant_ach"",""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""SOC2_TYPE_II""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
simplex,Simplex,Simplex Ramp,"[""[Website](https://www.simplex.com/)""]",full,"[""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,"[""fiat on-ramp"",""card payments""]"
stripe-crypto,Stripe,Stripe Ramp,"[""[Website](https://stripe.com/crypto)""]",full,"[""credit_card"",""debit_card"",""ach""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",FALSE,"[""SOC2_TYPE_II"",""PCI_DSS""]",TBD,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
switchere,Switchere,Switchere Ramp,"[""[Website](https://switchere.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay"",""neteller"",""skrill"",""paypal"",""revolut_pay""]","[""BD"",""BY"",""CU"",""IR"",""KP"",""CN"",""RU"",""SS"",""SD""]",FALSE,"[""PCI_DSS""]",Widget,"[""fiat on-ramp"",""card payments"",""bank transfer""]"
